# --- items.txt ---
# Format: item_id,amount,buy_price,buy_damage,shop,category,sell_price,sell_damage

# == BANK ==
netherite_ingot,1,1000,0,bank,currency,1000,0
emerald,1,100,0,bank,currency,100,0
diamond,1,75,0,bank,currency,75,0
gold_ingot,1,25,0,bank,currency,25,0
iron_ingot,1,50,0,bank,currency,50,0
copper_ingot,1,10,0,bank,currency,10,0
coal,1,5,0,bank,currency,5,0

netherite_ingot,5,5000,0,bank,currencyx5,5000,0
emerald,5,500,0,bank,currencyx5,500,0
diamond,5,375,0,bank,currencyx5,375,0
gold_ingot,5,250,0,bank,currencyx5,250,0
iron_ingot,5,125,0,bank,currencyx5,125,0
copper_ingot,5,50,0,bank,currencyx5,50,0
coal,5,25,0,bank,currencyx5,25,0

# == Shop: armory ==

# Category: helmets
leather_helmet,1,100,0,armory,helmets,30,-1
chainmail_helmet,1,300,0,armory,helmets,100,-1
iron_helmet,1,600,0,armory,helmets,200,-1
golden_helmet,1,500,0,armory,helmets,170,-1
diamond_helmet,1,1200,0,armory,helmets,400,-1
netherite_helmet,1,4000,0,armory,helmets,1350,-1
turtle_helmet,1,300,0,armory,helmets,100,-1

# Category: chestplates
leather_chestplate,1,160,0,armory,chestplates,50,-1
chainmail_chestplate,1,480,0,armory,chestplates,160,-1
iron_chestplate,1,960,0,armory,chestplates,320,-1
golden_chestplate,1,800,0,armory,chestplates,270,-1
diamond_chestplate,1,1920,0,armory,chestplates,640,-1
netherite_chestplate,1,6400,0,armory,chestplates,2150,-1
elytra,1,15000,0,armory,chestplates,5000,-1

# Category: leggings
leather_leggings,1,140,0,armory,leggings,45,-1
chainmail_leggings,1,420,0,armory,leggings,140,-1
iron_leggings,1,840,0,armory,leggings,280,-1
golden_leggings,1,700,0,armory,leggings,230,-1
diamond_leggings,1,1680,0,armory,leggings,560,-1
netherite_leggings,1,5600,0,armory,leggings,1880,-1

# Category: boots
leather_boots,1,80,0,armory,boots,25,-1
chainmail_boots,1,240,0,armory,boots,80,-1
iron_boots,1,480,0,armory,boots,160,-1
golden_boots,1,400,0,armory,boots,130,-1
diamond_boots,1,960,0,armory,boots,320,-1
netherite_boots,1,3200,0,armory,boots,1070,-1

# Category: swords
wooden_sword,1,50,0,armory,swords,15,-1
stone_sword,1,120,0,armory,swords,40,-1
iron_sword,1,380,0,armory,swords,130,-1
golden_sword,1,300,0,armory,swords,100,-1
diamond_sword,1,850,0,armory,swords,280,-1
netherite_sword,1,3000,0,armory,swords,1000,-1

# Category: weapons
bow,1,150,0,armory,weapons,50,-1
crossbow,1,200,0,armory,weapons,70,-1
trident,1,5000,0,armory,weapons,1700,-1
mace,1,2500,0,armory,weapons,800,-1

# Category: pickaxes
wooden_pickaxe,1,60,0,armory,pickaxes,20,-1
stone_pickaxe,1,150,0,armory,pickaxes,50,-1
iron_pickaxe,1,450,0,armory,pickaxes,150,-1
golden_pickaxe,1,350,0,armory,pickaxes,120,-1
diamond_pickaxe,1,1000,0,armory,pickaxes,350,-1
netherite_pickaxe,1,3500,0,armory,pickaxes,1200,-1

# Category: axes
wooden_axe,1,60,0,armory,axes,20,-1
stone_axe,1,150,0,armory,axes,50,-1
iron_axe,1,450,0,armory,axes,150,-1
golden_axe,1,350,0,armory,axes,120,-1
diamond_axe,1,1000,0,armory,axes,350,-1
netherite_axe,1,3500,0,armory,axes,1200,-1

# Category: shovels
wooden_shovel,1,40,0,armory,shovels,15,-1
stone_shovel,1,100,0,armory,shovels,35,-1
iron_shovel,1,300,0,armory,shovels,100,-1
golden_shovel,1,250,0,armory,shovels,80,-1
diamond_shovel,1,700,0,armory,shovels,240,-1
netherite_shovel,1,2500,0,armory,shovels,850,-1

# Category: hoes
wooden_hoe,1,40,0,armory,hoes,15,-1
stone_hoe,1,100,0,armory,hoes,35,-1
iron_hoe,1,300,0,armory,hoes,100,-1
golden_hoe,1,250,0,armory,hoes,80,-1
diamond_hoe,1,700,0,armory,hoes,240,-1
netherite_hoe,1,2500,0,armory,hoes,850,-1

# Category: armory_misc
arrow,16,40,0,armory,weapons,10,0
fire_charge,3,100,0,armory,weapons,30,0
fishing_rod,1,100,0,armory,armory_misc,30,-1
shield,1,120,0,armory,armory_misc,40,-1
totem_of_undying,1,7500,0,armory,armory_misc,2500,0

# Category: mob_gear
leather_horse_armor,1,80,0,armory,mob_gear,25,-1
iron_horse_armor,1,250,0,armory,mob_gear,80,-1
golden_horse_armor,1,200,0,armory,mob_gear,65,-1
diamond_horse_armor,1,500,0,armory,mob_gear,170,-1
wolf_armor,1,800,0,armory,mob_gear,250,-1

# == Shop: workshop ==

# Category: logs
oak_log,16,40,0,workshop,logs,12,0
spruce_log,16,40,0,workshop,logs,12,0
birch_log,16,40,0,workshop,logs,12,0
jungle_log,16,50,0,workshop,logs,15,0
acacia_log,16,50,0,workshop,logs,15,0
dark_oak_log,16,50,0,workshop,logs,15,0
mangrove_log,16,60,0,workshop,logs,18,0
cherry_log,16,60,0,workshop,logs,18,0
crimson_stem,16,70,0,workshop,logs,20,0
warped_stem,16,70,0,workshop,logs,20,0
bamboo_block,16,50,0,workshop,logs,15,0
pale_oak_log,16,100,0,workshop,logs,30,0

# Category: logs
stripped_oak_log,16,45,0,workshop,stripped_logs,13,0
stripped_spruce_log,16,45,0,workshop,stripped_logs,13,0
stripped_birch_log,16,45,0,workshop,stripped_logs,13,0
stripped_jungle_log,16,55,0,workshop,stripped_logs,16,0
stripped_acacia_log,16,55,0,workshop,stripped_logs,16,0
stripped_dark_oak_log,16,55,0,workshop,stripped_logs,16,0
stripped_mangrove_log,16,65,0,workshop,stripped_logs,19,0
stripped_cherry_log,16,65,0,workshop,stripped_logs,19,0
stripped_crimson_stem,16,75,0,workshop,stripped_logs,22,0
stripped_warped_stem,16,75,0,workshop,stripped_logs,22,0
